sysno|authorroman|titleroman|title|imprintplaceroman|publisherroman|date|pages|authorlast|authorfirst|iadetails|iaidentifier|streamurl|downloadurl,,,,,,,,,,,,,,,,,
212493|Weinrib, Baruch Abraham|Der miṭlṿeg tsṿishn ideal un praḳṭik ̣in ḳulṭur-arbeṭ|דער מיטלווענ צווישן אידעאל און פראקטיק אין קולטור-ארבעט|Shiḳage|Miṭl-Mayrev rayon Yidishe ḳulṭur-gezelshafṭ durkh dem farlag L.M. Shṭayn,|1935|64|ריווקין|ב|https://archive.org/details/nybc212493|nybc212493|http://www.archive.org/stream/nybc212493|http://www.archive.org/download/nybc212493/nybc212493.pdf
212492|Reisfeder, Jacob|Azoy iz es geshen : roman|אזוי איז עס געשען : ראמאן|Ṿarshe|Ḳooperaṭiṿer farlag ""Ḳulṭur-lige"", [1931]||231|רייזפעדער|יעקב|https://archive.org/details/nybc212492|nybc212492|http://www.archive.org/stream/nybc212492|http://www.archive.org/download/nybc212492/nybc212492.pdf
212505|Lehmann, Marcus|In tsṿey ṿelṭen : ertsehlung fun modernem leben|אין צווי וועלטען : ערצעהלונג פון מאדערנעם לעבען|Ṿarsha|Alṭ-Yudish,|1921|103|לעהמאן|מ|https://archive.org/details/nybc212505|nybc212505|http://www.archive.org/stream/nybc212505|http://www.archive.org/download/nybc212505/nybc212505.pdf
212502|Gordon, Judah.|Folḳ un land : funḳen|פאלק און לאנד : פונקען|Ḳliṿland|[Paragon Press], 682 [1922]||86|גארדאן|יהודה|https://archive.org/details/nybc212502|nybc212502|http://www.archive.org/stream/nybc212502|http://www.archive.org/download/nybc212502/nybc212502.pdf
211552|Feigenbaum, Benjamin|Di religyon un di arbeyṭer : ershṭer ṭeyl [fun] Idishḳayṭ un sotsyalizmus|דיא רעליגיאן און דיא ארבייטער : ערשטער טייל [פון] אידישקייט און סאציאליזמוס|Nyu Yorḳ|[o. fg.], [1914?]||130|פייגענבוים|בנימין|https://archive.org/details/nybc211552|nybc211552|http://www.archive.org/stream/nybc211552|http://www.archive.org/download/nybc211552/nybc211552.pdf
211430|Tolstoy, Leo|Geklibene shriften|גקליבענע שריפטען|Ṿilna|Shelomoh Shreberk,|||טאלסטאי|ל|https://archive.org/details/nybc211430|nybc211430|http://www.archive.org/stream/nybc211430|http://www.archive.org/download/nybc211430/nybc211430.pdf
212415|Jacques, Norbert|Doḳṭor Mabuze : roman|דאקטאר מאבוזע : ראמאן|Ṿarshe|Farlag Sh. Goldfarb,|1930|351|זשאק|נ|https://archive.org/details/nybc212415|nybc212415|http://www.archive.org/stream/nybc212415|http://www.archive.org/download/nybc212415/nybc212415.pdf
211443|Bible.|Sefer Neim zemirot Yiśraʼel : Tehilim|ספר נעים זמירות ישראלת תבלים|Yerushalayim|[ḥ. mo. l.], 694 [1934]||328|||https://archive.org/details/nybc211443|nybc211443|http://www.archive.org/stream/nybc211443|http://www.archive.org/download/nybc211443/nybc211443.pdf
212504|Daughters of the American Revolution.|Ṭ.A.R. (ṭekhṭer fun Ameriḳaner reṿolutsyon) : lehr-bikhel far birgershafṭ|ט.א.ר. (טעכטער פון אמעריקאנער רעוואלוציאן) : לעהר-ביכעל פאר בירגערשאפט|Ṿoshingṭon, D.Ḳ.|Aroysgegeben fun di organizatsye ṭekhṭer fun der Ameriḳaner reṿolutsye, [c1935]||73|||https://archive.org/details/nybc212504|nybc212504|http://www.archive.org/stream/nybc212504|http://www.archive.org/download/nybc212504/nybc212504.pdf
212494|Rosenblatt, H.|Lieder|ליעדער|Nyu Yorḳ|[o. fg.],|1910|96|רויזענבלאט|ה|https://archive.org/details/nybc212494|nybc212494|http://www.archive.org/stream/nybc212494|http://www.archive.org/download/nybc212494/nybc212494.pdf
212491|Reisen, Abraham|Oysgeṿeylṭe ṿer.k|אויסגעוויילטע ווערק : אברהם רייזען ; [רעדאקטאר, ש. פערדמאן]|Ṿarshe|Yidish bukh,|1955||רייזען|אברהם|https://archive.org/details/nybc212491|nybc212491|http://www.archive.org/stream/nybc212491|http://www.archive.org/download/nybc212491/nybc212491.pdf
212419|Markish, Peretz|Farbaygeyendiḳ : eseyen|פארבייגייענדיק : עסייען|Ṿilne|Bikherlager bay der Tsenṭraler Yidisher shul-organizatsye in Ṿilne,|1921|73|מארקיש|פרץ|https://archive.org/details/oyfkumunumku00efro|oyfkumunumku00efro|http://www.archive.org/stream/oyfkumunumku00efro|http://www.archive.org/download/oyfkumunumku00efro/oyfkumunumku00efro.pdf
211923|Lantsutskiǐ, St.|Zikhroynes|זיכרוינעס|Minsḳ|Melukhe-farlag fun Ṿaysrusland Yidseḳṭer,|1932|199|לאנצוצקי|סט|https://archive.org/details/nybc211923|nybc211923|http://www.archive.org/stream/nybc211923|http://www.archive.org/download/nybc211923/nybc211923.pdf
211960||Yizkor : be-aśor li-feṭirat Daṿid Pinsḳi : tsum tsenṭen yortsayṭ|יזכור : בעשור לפטירת דוד פינסקי : צום צענטן יארצייט|Ḥefah|Yedide Daṿid Pinsḳi,|1969|72|||https://archive.org/details/nybc211960|nybc211960|http://www.archive.org/stream/nybc211960|http://www.archive.org/download/nybc211960/nybc211960.pdf
212420|Marx, Karl|Loynarbeyṭ un ḳapiṭal|לוינארבייט און קאפיטאל|Ṿilna|Bikherferlag Tsuḳunfṭ,|1905|31|מארקס|קארל|https://archive.org/details/nybc212420|nybc212420|http://www.archive.org/stream/nybc212420|http://www.archive.org/download/nybc212420/nybc212420.pdf
212421|Markish, Peretz|Shṭiferish|שטיפעריש|Ṿilne|Bikher-lager fun der Tsenṭraler Yidisher shul organizatsye, [1919]||46|מארקיש|פרץ|https://archive.org/details/shtiferish00mark|shtiferish00mark|http://www.archive.org/stream/shtiferish00mark|http://www.archive.org/download/shtiferish00mark/shtiferish00mark.pdf
212507|Yefroikin, S.|Baym ḳṿal : liṭerarishe zamlung far der Yidisher shul|ביים קוואל : ליטערארישע זאמלונג פאר דער יידישער שול|Nyu-Yorḳ|Aroysgegebn fun Nyu-Yorḳer A.R. miṭlshul, c1948.||110|יעפרויקין|ז|https://archive.org/details/nybc212507|nybc212507|http://www.archive.org/stream/nybc212507|http://www.archive.org/download/nybc212507/nybc212507.pdf
212509||Dos lid iz gebliben : antologye ; lider fun Yidishe dikhṭer in Poyln, umgeḳumene beys̀ der Hiṭlerisher oḳupatsye|דאס ליד איז געבליבן : אנטאלאגיע ; לידער פון יידישע דיכטער אין פוילן, אומגעקומענע בעת דער היטלערישער אקופאציע|Ṿarshe|Yidish Bukh,|1951|269|||https://archive.org/details/nybc212509|nybc212509|http://www.archive.org/stream/nybc212509|http://www.archive.org/download/nybc212509/nybc212509.pdf
